numTestFiles,numNotes,numEntries,runtime
97,0.610054,26.427036,71.46203926086426
193,1.120760,46.643041,127.21218734741211
289,1.664614,70.527719,192.34225923919678
385,2.357982,102.753946,281.75676026916506
481,2.920586,123.364693,340.423415725708
578,3.438982,146.994277,406.225439163208
674,3.983661,171.201068,474.59927197265625
770,4.444475,186.361744,516.9002669906616
866,5.113233,212.339078,588.4640660095215
962,5.659329,237.912002,659.9903067169189
